
Epoch: [1 | 50] LR: 0.010000

Epoch: [2 | 50] LR: 0.010000

Epoch: [3 | 50] LR: 0.010000

Epoch: [4 | 50] LR: 0.010000

Epoch: [5 | 50] LR: 0.010000

Epoch: [6 | 50] LR: 0.010000

Epoch: [7 | 50] LR: 0.010000

Epoch: [8 | 50] LR: 0.010000

Epoch: [9 | 50] LR: 0.010000

Epoch: [10 | 50] LR: 0.010000

Epoch: [11 | 50] LR: 0.010000

Epoch: [12 | 50] LR: 0.010000

Epoch: [13 | 50] LR: 0.010000

Epoch: [14 | 50] LR: 0.010000

Epoch: [15 | 50] LR: 0.010000

Epoch: [16 | 50] LR: 0.010000

Epoch: [17 | 50] LR: 0.010000

Epoch: [18 | 50] LR: 0.010000

Epoch: [19 | 50] LR: 0.010000

Epoch: [20 | 50] LR: 0.010000

Epoch: [21 | 50] LR: 0.010000

Epoch: [22 | 50] LR: 0.010000

Epoch: [23 | 50] LR: 0.010000

Epoch: [24 | 50] LR: 0.010000

Epoch: [25 | 50] LR: 0.010000

Epoch: [26 | 50] LR: 0.010000

Epoch: [27 | 50] LR: 0.010000

Epoch: [28 | 50] LR: 0.010000

Epoch: [29 | 50] LR: 0.010000

Epoch: [30 | 50] LR: 0.010000

Epoch: [31 | 50] LR: 0.010000

Epoch: [32 | 50] LR: 0.010000

Epoch: [33 | 50] LR: 0.010000

Epoch: [34 | 50] LR: 0.010000

Epoch: [35 | 50] LR: 0.010000

Epoch: [36 | 50] LR: 0.010000

Epoch: [37 | 50] LR: 0.010000

Epoch: [38 | 50] LR: 0.010000

Epoch: [39 | 50] LR: 0.010000

Epoch: [40 | 50] LR: 0.010000

Epoch: [41 | 50] LR: 0.010000

Epoch: [42 | 50] LR: 0.010000

Epoch: [43 | 50] LR: 0.010000

Epoch: [44 | 50] LR: 0.010000

Epoch: [45 | 50] LR: 0.010000

Epoch: [46 | 50] LR: 0.010000

Epoch: [47 | 50] LR: 0.010000

Epoch: [48 | 50] LR: 0.010000

Epoch: [49 | 50] LR: 0.010000

Epoch: [50 | 50] LR: 0.010000
best acc: 66.12367021276596

Epoch: [1 | 50] LR: 0.010000

Epoch: [2 | 50] LR: 0.010000

Epoch: [3 | 50] LR: 0.010000

Epoch: [4 | 50] LR: 0.010000

Epoch: [5 | 50] LR: 0.010000

Epoch: [6 | 50] LR: 0.010000

Epoch: [7 | 50] LR: 0.010000

Epoch: [8 | 50] LR: 0.010000

Epoch: [9 | 50] LR: 0.010000

Epoch: [10 | 50] LR: 0.010000

Epoch: [11 | 50] LR: 0.010000

Epoch: [12 | 50] LR: 0.010000

Epoch: [13 | 50] LR: 0.010000

Epoch: [14 | 50] LR: 0.010000

Epoch: [15 | 50] LR: 0.010000

Epoch: [16 | 50] LR: 0.010000

Epoch: [17 | 50] LR: 0.010000

Epoch: [18 | 50] LR: 0.010000

Epoch: [19 | 50] LR: 0.010000

Epoch: [20 | 50] LR: 0.010000

Epoch: [21 | 50] LR: 0.010000

Epoch: [22 | 50] LR: 0.010000

Epoch: [23 | 50] LR: 0.010000

Epoch: [24 | 50] LR: 0.010000

Epoch: [25 | 50] LR: 0.010000

Epoch: [26 | 50] LR: 0.010000

Epoch: [27 | 50] LR: 0.010000

Epoch: [28 | 50] LR: 0.010000

Epoch: [29 | 50] LR: 0.010000

Epoch: [30 | 50] LR: 0.010000

Epoch: [31 | 50] LR: 0.010000

Epoch: [32 | 50] LR: 0.010000

Epoch: [33 | 50] LR: 0.010000

Epoch: [34 | 50] LR: 0.010000

Epoch: [35 | 50] LR: 0.010000

Epoch: [36 | 50] LR: 0.010000

Epoch: [37 | 50] LR: 0.010000

Epoch: [38 | 50] LR: 0.010000

Epoch: [39 | 50] LR: 0.010000

Epoch: [40 | 50] LR: 0.010000

Epoch: [41 | 50] LR: 0.010000

Epoch: [42 | 50] LR: 0.010000

Epoch: [43 | 50] LR: 0.010000

Epoch: [44 | 50] LR: 0.010000

Epoch: [45 | 50] LR: 0.010000

Epoch: [46 | 50] LR: 0.010000

Epoch: [47 | 50] LR: 0.010000

Epoch: [48 | 50] LR: 0.010000

Epoch: [49 | 50] LR: 0.010000

Epoch: [50 | 50] LR: 0.010000
best acc: 73.86968085106383

Epoch: [1 | 50] LR: 0.010000

Epoch: [2 | 50] LR: 0.010000

Epoch: [3 | 50] LR: 0.010000

Epoch: [4 | 50] LR: 0.010000

Epoch: [5 | 50] LR: 0.010000

Epoch: [6 | 50] LR: 0.010000

Epoch: [7 | 50] LR: 0.010000

Epoch: [8 | 50] LR: 0.010000

Epoch: [9 | 50] LR: 0.010000

Epoch: [10 | 50] LR: 0.010000

Epoch: [11 | 50] LR: 0.010000

Epoch: [12 | 50] LR: 0.010000

Epoch: [13 | 50] LR: 0.010000

Epoch: [14 | 50] LR: 0.010000

Epoch: [15 | 50] LR: 0.010000

Epoch: [16 | 50] LR: 0.010000

Epoch: [17 | 50] LR: 0.010000

Epoch: [18 | 50] LR: 0.010000

Epoch: [19 | 50] LR: 0.010000

Epoch: [20 | 50] LR: 0.010000

Epoch: [21 | 50] LR: 0.010000

Epoch: [22 | 50] LR: 0.010000

Epoch: [23 | 50] LR: 0.010000

Epoch: [24 | 50] LR: 0.010000

Epoch: [25 | 50] LR: 0.010000

Epoch: [26 | 50] LR: 0.010000

Epoch: [27 | 50] LR: 0.010000

Epoch: [28 | 50] LR: 0.010000

Epoch: [29 | 50] LR: 0.010000

Epoch: [30 | 50] LR: 0.010000

Epoch: [31 | 50] LR: 0.010000

Epoch: [32 | 50] LR: 0.010000

Epoch: [33 | 50] LR: 0.010000

Epoch: [34 | 50] LR: 0.010000

Epoch: [35 | 50] LR: 0.010000

Epoch: [36 | 50] LR: 0.010000

Epoch: [37 | 50] LR: 0.010000

Epoch: [38 | 50] LR: 0.010000

Epoch: [39 | 50] LR: 0.010000

Epoch: [40 | 50] LR: 0.010000

Epoch: [41 | 50] LR: 0.010000

Epoch: [42 | 50] LR: 0.010000

Epoch: [43 | 50] LR: 0.010000

Epoch: [44 | 50] LR: 0.010000

Epoch: [45 | 50] LR: 0.010000

Epoch: [46 | 50] LR: 0.010000

Epoch: [47 | 50] LR: 0.010000

Epoch: [48 | 50] LR: 0.010000

Epoch: [49 | 50] LR: 0.010000

Epoch: [50 | 50] LR: 0.010000
best acc: 76.36303191489361

Epoch: [1 | 50] LR: 0.010000

Epoch: [2 | 50] LR: 0.010000

Epoch: [3 | 50] LR: 0.010000

Epoch: [4 | 50] LR: 0.010000

Epoch: [5 | 50] LR: 0.010000

Epoch: [6 | 50] LR: 0.010000

Epoch: [7 | 50] LR: 0.010000

Epoch: [8 | 50] LR: 0.010000

Epoch: [9 | 50] LR: 0.010000

Epoch: [10 | 50] LR: 0.010000

Epoch: [11 | 50] LR: 0.010000

Epoch: [12 | 50] LR: 0.010000

Epoch: [13 | 50] LR: 0.010000

Epoch: [14 | 50] LR: 0.010000

Epoch: [15 | 50] LR: 0.010000

Epoch: [16 | 50] LR: 0.010000

Epoch: [17 | 50] LR: 0.010000

Epoch: [18 | 50] LR: 0.010000

Epoch: [19 | 50] LR: 0.010000

Epoch: [20 | 50] LR: 0.010000

Epoch: [21 | 50] LR: 0.010000

Epoch: [22 | 50] LR: 0.010000

Epoch: [23 | 50] LR: 0.010000

Epoch: [24 | 50] LR: 0.010000

Epoch: [25 | 50] LR: 0.010000

Epoch: [26 | 50] LR: 0.010000

Epoch: [27 | 50] LR: 0.010000

Epoch: [28 | 50] LR: 0.010000

Epoch: [29 | 50] LR: 0.010000

Epoch: [30 | 50] LR: 0.010000

Epoch: [31 | 50] LR: 0.010000

Epoch: [32 | 50] LR: 0.010000

Epoch: [33 | 50] LR: 0.010000

Epoch: [34 | 50] LR: 0.010000

Epoch: [35 | 50] LR: 0.010000

Epoch: [36 | 50] LR: 0.010000

Epoch: [37 | 50] LR: 0.010000

Epoch: [38 | 50] LR: 0.010000

Epoch: [39 | 50] LR: 0.010000

Epoch: [40 | 50] LR: 0.010000

Epoch: [41 | 50] LR: 0.010000

Epoch: [42 | 50] LR: 0.010000

Epoch: [43 | 50] LR: 0.010000

Epoch: [44 | 50] LR: 0.010000

Epoch: [45 | 50] LR: 0.010000

Epoch: [46 | 50] LR: 0.010000

Epoch: [47 | 50] LR: 0.010000

Epoch: [48 | 50] LR: 0.010000

Epoch: [49 | 50] LR: 0.010000

Epoch: [50 | 50] LR: 0.010000
best acc: 78.125
